,author,title,year
0,Ann Freeman; Paul Meyvaert; ,The Meaning of Theodulf's Apse Mosaic at Germigny-des-Prés,2001
1,Alison Locke Perchuk; ,"Schismatic (Re)Visions: Sant’Elia near Nepi and Sta. Maria in Trastevere in Rome, 1120–1143",2016
2,NA,The Origin of the Genoels-Elderen Ivories,2015
3,Bissera V. Pentcheva; ,Hagia Sophia and Multisensory Aesthetics,2011
4,Oya Pancaroğlu; ,The Itinerant Dragon-Slayer: Forging Paths of Image and Identity in Medieval Anatolia,2004
5,Ittai Weinryb; ,"Living Matter: Materiality, Maker, and Ornament in the Middle Ages",2013
6,Diliana Angelova; ,The Ivories of Ariadne and Ideas about Female Imperial Authority in Rome and Early Byzantium,2004
7,Joyce Kubiski; ,"Orientalizing Costume in Early Fifteenth-Century French Manuscript Painting (Cité des Dames Master, Limbourg Brothers, Boucicaut Master, and Bedford Master)",2001
8,Aden Kumler; Christopher R. Lakey; ,<i>Res et significatio</i>: The Material Sense of Things in the Middle Ages,2012
9,Jean-Michel Spieser; ,The Representation of Christ in the Apses of Early Christian Churches,2015
10,Vasileios Marinis; ,“He Who Is at the Point of Death”: The Fate of the Soul in Byzantine Art and Liturgy,2015
11,Ashley Elston; ,"Pain, Plague, and Power in Niccolò Semitecolo's Reliquary Cupboard for Padua Cathedral",2012
12,Catherine Carver Mccurrach; ,"""Renovatio"" Reconsidered: Richard Krautheimer and the Iconography of Architecture",2011
13,Robert Ousterhout; ,"""Sweetly Refreshed in Imagination"": Remembering Jerusalem in Words and Images",2009
14,Kirk Ambrose; ,Attunement to the Damned of the Conques Tympanum,2011
15,Rossitza B. Schroeder; ,Prayer and Penance in the South Bay of the Chora Esonarthex,2009
16,Paul Binski; ,The Heroic Age of Gothic and the Metaphors of Modernism,2013
17,Kirstin Noreen; ,"Lay Patronage and the Creation of Papal Sanctity during the Gregorian Reform: The Case of Sant'Urbano alla Caffarella, Rome",2001
18,Marco Aimone; ,A Roman cathedra episcopalis from the Era of Pope Hadrian I,2019
19,Beate Fricke; ,Matter and Meaning of Mother-of-Pearl: The Origins of Allegory in the Spheres of Things,2012
20,Mary Carruthers; ,"Ars oblivionalis, ars inveniendi: The Cherub Figure and the Arts of Memory",2009
21,Marilyn E. Heldman; ,St. Luke as Painter: Post-Byzantine Icons in Early-Sixteenth-Century Ethiopia,2005
22,Paroma Chatterjee; ,Viewing the Unknown in Eighth-Century Constantinople,2017
23,Annemarie Weyl Carr; ,Donors in the Frames of Icons: Living in the Borders of Byzantine Art,2006
24,Alicia M. Walker; ,Cross-Cultural Reception in the Absence of Texts: The Islamic Appropriation of a Middle Byzantine Rosette Casket,2008
25,Robert Ousterhout; ,"The East, the West, and the Appropriation of the Past in Early Ottoman Architecture",2004
26,Beatrice Leal; ,A Reconsideration of the Madaba Map,2018
27,Charles E. Nicklies; ,"Builders, Patrons, and Identity: The Domed Basilicas of Sicily and Calabria",2004
28,Adam F. Cohen; Anne Derbes; ,Bernward and Eve at Hildesheim,2001
29,Marvin Trachtenberg; ,"Suger's Miracles, Branner's Bourges: Reflections on ""Gothic Architecture"" as Medieval Modernism",2000
30,Ilene H. Forsyth; ,Narrative at Moissac: Schapiro's Legacy,2002
31,Eva Hoffman; ,"Christian-Islamic Encounters on Thirteenth-Century Ayyubid Metalwork: Local Culture, Authenticity, and Memory",2004
32,D. Fairchild Ruggles; ,The Alcazar of Seville and Mudejar Architecture,2004
33,Erik Inglis; ,"Gothic Architecture and a Scholastic: Jean de Jandun's ""Tractatus de laudibus Parisius"" (1323)",2003
34,Meredith Anne Bacola; ,The Hybrid Pier of Durham Cathedral: A Norman Monument to the Shrine of St. Cuthbert?,2015
35,Karen O. Mathews; ,Other Peoples’ Dishes: Islamic Bacini on Eleventh-Century Churches in Pisa,2014
36,Michael Davis; Linda Neagley; ,"Mechanics and Meaning: Plan Design at Saint-Urbain, Troyes and Saint-Ouen, Rouen",2000
37,Emily Moerer; ,"The Visual Hagiography of a Stigmatic Saint: Drawings of Catherine of Siena in the ""Libellus de Supplemento""",2005
38,Nicolas Reveyron; ,"""Marques lapidaires"": The State of the Question",2003
39,Michael Gaudio; ,Matthew Paris and the Cartography of the Margins,2000
40,Herbert L. Kessler; ,Christ the Magic Dragon,2009
41,John Cotsonis; ,"Narrative Scenes on Byzantine Lead Seals (Sixth—Twelfth Centuries): Frequency, Iconography, and Clientele",2009
42,Paula Mae Carns; ,Compilatio in Ivory: The Composite Casket in the Metropolitan Museum,2005
43,Stephen Perkinson; ,Rethinking the Origins of Portraiture,2007
44,Elina Gertsman; ,The Dance of Death in Reval (Tallinn): The Preacher and His Audience,2003
45,W. Eugene Kleinbauer; ,"Antioch, Jerusalem, and Rome: The Patronage of Emperor Constantius II and Architectural Invention",2006
46,Jacqueline Jung; ,Peasant Meal or Lord's Feast? The Social Iconography of the Naumburg Last Supper,2003
47,Holly Flora; Arianna Cignoni; ,Requirements of Devout Contemplation: Text and Image for the Poor Clares in Trecento Pisa,2006
48,Jennifer P. Kingsley; ,Picturing the Treasury: The Power of Objects and the Art of Memory in the Bernward Gospels,2011
49,Karen O. Mathews; ,Reading Romanesque Sculpture: The Iconography and Reception of the South Portal Sculpture at Santiago de Compostela,2000
50,Adam F. Cohen; ,Making Memories in a Medieval Miscellany,2009
51,Robert Ousterhout; D. Fairchild Ruggles; ,"Encounters with Islam: The Medieval Mediterranean Experience Art, Material Culture, and Cultural Interchange",2004
52,Richard K. Emmerson; ,"The Representation of Antichrist in Hildegard of Bingen's Scivias: Image, Word, Commentary, and Visionary Experience",2002
53,Stephen Perkinson; ,"Engin and Artifice: Describing Creative Agency at the Court of France, ca. 1400",2002
54,William G. North; Anthony Cutler; ,"Ivories, Inscriptions, and Episcopal Self-Consciousness in the Ottonian Empire: Berthold of Toul and the Berlin Hodegetria",2003
55,NA,The Audiences for the Medieval Cult of Saints,2015
56,Milton McC. Gatch; ,Noah's Raven in Genesis A and the Illustrated Old English Hexateuch,2015
57,Carola Jäggi; ,Eastern Choir or Western Gallery? The Problem of the Place of the Nuns' Choir in Königsfelden and Other Early Mendicant Nunneries,2001
58,Warren T. Woodfin; ,Presents Given and Presence Subverted: The Cunegunda Chormantel in Bamberg and the Ideology of Byzantine Textiles,2008
59,Jeanne-Marie Musto; ,John Scottus Eriugena and the Upper Cover of the Lindau Gospels,2001
60,Karen Blough; ,The Abbatial Effigies at Quedlinburg: A Convent's Identity Reconfigured,2008
61,Andrea N Pearson; ,"Gendered Subject, Gendered Spectator: Mary Magdalen in the Gaze of Margaret of York",2005
62,M. Georgopoulou; ,The Artistic World of the Crusaders and Oriental Christians in the Twelfth and Thirteenth Centuries,2004
63,Elizabeth Parker; ,"Editing the ""Cloisters Cross""",2006
64,Nina Rowe; ,"Synagoga Tumbles, a Rider Triumphs: Clerical Viewers and the Fürstenportal of Bamberg Cathedral",2006
65,Vibeke Olson; ,Colonnette Production and the Advent of the Gothic Aesthetic,2004
66,Christina Maranci; ,Byzantium through Armenian Eyes: Cultural Appropriation and the Church of Zuart'noc',2001
67,Achim Timmermann; ,The Avenging Crucifix: Some Observations on the Iconography of the Living Cross,2001
68,Leila Cuttle; ,The Boucicaut Masters,2002
69,Pamela R. Patton; ,"An Ethiopian-Headed Serpent in the<i>Cantigas de Santa María</i>: Sin, Sex, and Color in Late Medieval Castile",2016
70,Dale Kinney; ,Rome in the Twelfth Century: Urbs fracta and renovatio,2006
71,Barbara Newman; ,"Contemplating the Trinity: Text, Image, and the Origins of the Rothschild Canticles",2013
72,Willibald Sauerländer; ,"""Antiqui et Moderni"" at Reims",2003
